
                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0        142           360.743                         5.17e+03
     1        284           42.1274        0.602645              492      
     2        426           28.8567        0.314883              241      
     3        568           17.5452         0.57493             23.7      
     4        710           15.3078        0.331197             15.2      
     5        852           13.9425        0.373234             13.4      
     6        994           13.6666        0.203592             4.18      
     7       1136           13.5399        0.191688             9.71      
     8       1278           13.5399        0.151608             9.71      
     9       1420           13.5284       0.0379021             6.19      
    10       1562           13.5228       0.0379021             3.12      
    11       1704           13.5168       0.0379021             1.13      
    12       1846           13.5126       0.0379021             1.52      
    13       1988           13.5097        0.066464              4.2      
    14       2130           13.5097       0.0758042             7.88      
    15       2272            13.507        0.018951            0.996      
    16       2414           13.5062        0.018951            0.565      
    17       2556           13.5058       0.0379021             2.94      
    18       2698           13.5058       0.0379021             2.94      
    19       2840           13.5055      0.00947552            0.186      
    20       2982           13.5054      0.00947552             1.27      
    21       3124           13.5054      0.00947552            0.439      
    22       3266           13.5054      0.00236888           0.0969      
    23       3408           13.5054      0.00236888            0.353      
    24       3550           13.5054      0.00236888           0.0213      
    25       3692           13.5054      0.00236888            0.346      
    26       3834           13.5054      0.00059222            0.016      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
    0         392    1.135903e+03     0.000e+00     1.000e+00     0.000e+00     3.951e+03  
    1         801    7.396790e+02     0.000e+00     2.326e-03     4.323e-01     2.108e+03  
    2        1209    6.135736e+02     0.000e+00     3.323e-03     2.442e-01     3.415e+03  
    3        1617    5.703070e+02     0.000e+00     3.323e-03     1.935e-01     1.670e+03  
    4        2024    5.475800e+02     0.000e+00     4.748e-03     1.164e-01     1.393e+03  
    5        2432    5.463559e+02     0.000e+00     3.323e-03     1.321e-01     1.566e+03  
    6        2839    5.355164e+02     0.000e+00     4.748e-03     1.500e-01     1.398e+03  
    7        3245    5.317276e+02     0.000e+00     6.782e-03     1.478e-01     9.201e+02  
    8        3651    5.211367e+02     0.000e+00     6.782e-03     1.035e-01     1.038e+03  
    9        4055    5.172564e+02     0.000e+00     1.384e-02     2.420e-01     1.647e+03  
   10        4460    4.935146e+02     0.000e+00     9.689e-03     2.485e-01     1.414e+03  
   11        4866    4.826891e+02     0.000e+00     6.782e-03     1.753e-01     1.077e+03  
   12        5271    4.643940e+02     0.000e+00     9.689e-03     2.213e-01     9.002e+02  
   13        5675    4.489769e+02     0.000e+00     1.384e-02     2.099e-01     6.048e+02  
   14        6078    4.312204e+02     0.000e+00     1.977e-02     2.995e-01     5.769e+02  
   15        6481    4.007213e+02     0.000e+00     1.977e-02     3.238e-01     5.539e+02  
   16        6884    3.692417e+02     0.000e+00     1.977e-02     2.914e-01     5.204e+02  
   17        7287    3.553250e+02     0.000e+00     1.977e-02     2.883e-01     4.238e+02  
   18        7689    3.249619e+02     0.000e+00     2.825e-02     4.955e-01     3.438e+02  
