Starting parallel pool (parpool) using the 'Threads' profile ...
Connected to parallel pool with 16 workers.

                                            Norm of      First-order 
 Iteration  Func-count      Resnorm            step       optimality
     0        111           431.717                         7.54e+03
     1        222           280.545       0.0118261         2.14e+03      
     2        333           210.749       0.0160693              670      
     3        444           79.3632        0.308463              271      
     4        555           26.5792        0.536284             17.8      
     5        666            16.628        0.591139             80.9      
     6        777           14.9976        0.299029             7.73      
     7        888           14.4083        0.246565             8.69      
     8        999           14.2635        0.149992             1.75      
     9       1110             14.23       0.0969714             1.41      
    10       1221           14.2229       0.0592784            0.225      
    11       1332           14.2217       0.0349669            0.053      
    12       1443           14.2216       0.0149507           0.0176      
    13       1554           14.2216      0.00311676          0.00336      

<a href = "matlab: helpview('optim','local_min_possible_lsq','CSHelpWindow');">Local minimum possible</a>.

lsqnonlin stopped because the final change in the sum of squares relative to 
its initial value is less than the value of the <a href = "matlab: helpview('optim','function_tolerance_lsq','CSHelpWindow');">function tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:snls:Exit3basic','lsqnonlin'},{'optimlib:snls:Exit3detailed','1.000000e-06'},true,true);;">stopping criteria details</a>>
 Iter  Func-count            Fval   Feasibility   Step Length       Norm of   First-order  
                                                                       step    optimality
    0         392    6.713853e+02     0.000e+00     1.000e+00     0.000e+00     1.289e+03  
    1         801    5.366998e+02     0.000e+00     2.326e-03     4.201e-01     1.153e+03  
    2        1208    4.991725e+02     0.000e+00     4.748e-03     2.950e-01     8.575e+02  
    3        1617    4.981690e+02     0.000e+00     2.326e-03     1.565e-01     5.886e+02  
    4        2024    4.828654e+02     0.000e+00     4.748e-03     2.006e-01     5.095e+02  
    5        2431    4.731952e+02     0.000e+00     4.748e-03     1.781e-01     4.628e+02  
    6        2839    4.697202e+02     0.000e+00     3.323e-03     1.005e-01     5.497e+02  
    7        3244    4.675543e+02     0.000e+00     9.689e-03     2.689e-01     4.498e+02  
    8        3650    4.611358e+02     0.000e+00     6.782e-03     1.514e-01     3.298e+02  
    9        4054    4.602453e+02     0.000e+00     1.384e-02     2.874e-01     4.807e+02  
   10        4459    4.525940e+02     0.000e+00     9.689e-03     2.172e-01     3.131e+02  
   11        4863    4.418965e+02     0.000e+00     1.384e-02     2.667e-01     2.905e+02  
   12        5267    4.355627e+02     0.000e+00     1.384e-02     2.983e-01     3.236e+02  
   13        5669    4.294359e+02     0.000e+00     2.825e-02     3.876e-01     4.370e+02  
   14        6075    4.264015e+02     0.000e+00     6.782e-03     1.729e-01     2.882e+02  
   15        6478    4.077133e+02     0.000e+00     1.977e-02     4.508e-01     2.971e+02  
   16        6881    4.053835e+02     0.000e+00     1.977e-02     5.181e-01     3.579e+02  
   17        7285    3.801648e+02     0.000e+00     1.384e-02     4.156e-01     2.818e+02  
   18        7689    3.800800e+02     0.000e+00     1.384e-02     3.998e-01     3.920e+02  
   19        8091    3.616737e+02     0.000e+00     2.825e-02     4.844e-01     5.000e+02  
   20        8495    3.554538e+02     0.000e+00     1.384e-02     6.158e-01     3.208e+02  
   21        8900    3.524553e+02     0.000e+00     9.689e-03     4.076e-01     2.762e+02  
   22        9303    3.341667e+02     0.000e+00     1.977e-02     4.831e-01     2.759e+02  
   23        9705    3.171607e+02     0.000e+00     2.825e-02     5.768e-01     2.349e+02  
   24       10107    3.144796e+02     0.000e+00     2.825e-02     4.265e-01     3.918e+02  
